what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.python.pydev.django,1.6.0.2010071813,"org.python.pydev.django",1304756858460
stopped,bundle,org.python.pydev.customizations,1.6.0.2010071813,"org.python.pydev.customizations",1304756858460
